Vertices,Time (ms)
100,1.557
200,4.093
300,7.346
400,12.746
500,19.104
600,27.205
700,35.691
800,46.069
900,57.295
1000,69.678
1100,82.961
1200,110.570
1300,169.726
1400,251.395
1500,355.978
1600,477.445
1700,626.182
1800,802.121
1900,1002.949
2000,1229.305
2100,1493.017
2200,1785.441
2300,2108.004
2400,2475.481
2500,2869.894
2600,3301.494
2700,3782.134
2800,4309.219
2900,4874.262
3000,5488.290
3100,6139.844
3200,6855.151
3300,7618.875
3400,8440.252
3500,9295.594
3600,10225.371
3700,11203.277
3800,12261.604
3900,13375.374
4000,14541.980
4100,15780.667
4200,17083.984
4300,18456.547
4400,19899.973
4500,21419.793
4600,23006.775
4700,24679.764
4800,26440.473
4900,28276.553
5000,30175.633
